地區,大廈名稱,家居檢疫最後日期
沙田區,晴碧花園 1 座,05/02/2020
荃灣區,碧堤半島 2 座,05/02/2020
深水埗區,石硤尾邨 44 座,05/02/2020
九龍城區,衙前塱道 19-21 號大華樓,05/02/2020
北區,長龍圍村呈祥樓,05/02/2020
深水埗區,曼赫頓山 3 座,05/02/2020
東區,興華 2 邨和興樓,05/02/2020
深水埗區,蘇屋邨彩雀樓,05/02/2020
九龍城區,黃埔花園 2 期 10 座,06/02/2020
大埔區,寶馬山 8 座,06/02/2020
中西區,卑路戶街 1 號三匯大廈,06/02/2020
元朗區,美景居 11 座,06/02/2020
屯門區,友愛邨愛明樓,06/02/2020
西貢區,健明邨明日樓,06/02/2020
西貢區,天晉 2 座,06/02/2020
油尖旺區,詩歌舞街 83 號亮賢居,06/02/2020
油尖旺區,浪祥灣一座,06/02/2020
深水埗區,港灣豪庭 6 座,06/02/2020
黃大仙區,翠竹花園 1 座,06/02/2020
觀塘區,成業街 15-17 號成運工業大廈,06/02/2020
觀塘區,樂華北村勤華樓,06/02/2020
觀塘區,順利邨利富樓 5 樓,06/02/2020
九龍城區,福佬村道 44A 號福興樓,07/02/2020
九龍城區,華豐街 7-8 號衡豐樓,07/02/2020
中西區,德福道西 334-350 號恒裕大廈,07/02/2020
中西區,德輔道西 464 號碧華閣,07/02/2020
中西區,德輔道西 296 號良基大廈,07/02/2020
中西區,香港大學日新學院第三學生村,07/02/2020
元朗區,錦上路牛徑村,07/02/2020
西貢區,怡明邨怡茵樓,07/02/2020
西貢區,清水灣道大埔仔村,07/02/2020
沙田區,水泉澳邨峻泉樓,07/02/2020
沙田區,新港城中心 4 期 K 座,07/02/2020
沙田區,沙田第一城 49 座,07/02/2020
東區,鰂魚涌新威園 C 座,07/02/2020
油尖旺區,利奧坊 2 座,07/02/2020
南區,漁安苑銀安閣,07/02/2020
黃大仙區,竹園南邨麗園樓,07/02/2020
黃大仙區,黃大仙下邨龍逸樓,07/02/2020
葵青區,葵芳邨葵正樓,07/02/2020
葵青區,葵涌廣埸第一座,07/02/2020
離島區,迎東邨迎悅樓,07/02/2020
觀塘區,順天邨天慈樓,07/02/2020
油尖旺區,佐敦道 18-24 號鴻運大廈,07/02/2020
油尖旺區,利奧坊曉岸第一座,07/02/2020
九龍城區,黃埔花園第 2 期 10 座,08/02/2020
九龍城區,必嘉圍福年新樓,08/02/2020
中西區,加惠臺 1 座,08/02/2020
元朗區,孖環路福順樓,08/02/2020
元朗區,嘉湖山莊麗湖居 4 座,08/02/2020
元朗區,峻巒 1A 期,08/02/2020
屯門區,美樂花園 4 座,08/02/2020
屯門區,美樂花園 10 座,08/02/2020
屯門區,鍾屋村,08/02/2020
屯門區,屯門海翠花園 6 座,08/02/2020
西貢區,日出康城 5 座,08/02/2020
西貢區,李達三葉耀珍伉儷李本俊會議大樓,08/02/2020
西貢區,佳景路 9 號浩明園,08/02/2020
沙田區,顯徑邨顯富樓,08/02/2020
沙田區,大圍名城 3 期,08/02/2020
東區,南豐新邨 6 座,08/02/2020
油尖旺區,凱帆軒 2 座,08/02/2020
荃灣區,楊屋道 100 號爵悅庭西爵,08/02/2020
深水埗區,榮昌邨榮俊樓,08/02/2020
深水埗區,海麗邨海和樓,08/02/2020
黃大仙區,黃大仙上邨昌善樓,08/02/2020
葵青區,大窩口邨富賢樓,08/02/2020
離島區,逸東邨瑞逸樓,08/02/2020
灣仔區,海華苑 2 期,08/02/2020
觀塘區,彩興苑彩薈閣,08/02/2020
觀塘區,宜安街 2-4 號致昌大厦,08/02/2020
觀塘區,平田邨平誠樓,08/02/2020
大埔區,太和邨寶雅苑興和閣,09/02/2020
中西區,皇后大道西 427-437 號生昌大厦,09/02/2020
元朗區,水邊圍邨泉水樓,09/02/2020
元朗區,天富苑朗富閣,09/02/2020
北區,上水圍大元村 7 巷,09/02/2020
元朗區,嘉湖山莊賞湖居 5 座,13/02/2020
